ticket_id,customer_id,ticket_date,issue_type,issue_description,priority,ticket_status,resolution_days
TICK000030,CUST0014,2025-06-26,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Low,In Progress,
TICK000031,CUST0014,2025-02-16,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,High,Closed,4
TICK000032,CUST0015,2025-11-17,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Low,Closed,0
TICK000033,CUST0016,2026-05-31,Service Outage,Customer was dissatisfied with repeated service outages in the area.,Critical,Closed,2
TICK000034,CUST0016,2022-05-15,Internet,Customer contacted support to confirm improved internet speed after router replacement.,Medium,Closed,0
TICK000035,CUST0017,2026-02-24,Internet,Customer complained about repeated internet drops during work-from-home hours.,Medium,Closed,10
TICK000036,CUST0017,2026-05-15,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,High,Closed,8
TICK000037,CUST0018,2025-01-17,Billing,Customer asked why promotional pricing changed this month.,Low,Closed,9
TICK000038,CUST0019,2024-12-20,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,High,Closed,4
TICK000039,CUST0019,2024-07-13,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,High,Closed,3
TICK000040,CUST0019,2023-03-24,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Medium,In Progress,
TICK000041,CUST0019,2026-05-01,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,High,In Progress,
TICK000042,CUST0019,2023-09-07,Billing,Customer requested clarification on monthly bill charges.,Medium,Closed,0
TICK000043,CUST0019,2023-12-27,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Critical,Closed,1
TICK000044,CUST0019,2025-09-16,Service Outage,Customer reported internet and TV outage affecting remote work.,Medium,Closed,9
TICK000045,CUST0022,2026-01-22,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Medium,Closed,4
TICK000046,CUST0022,2024-09-01,TV,Customer reported missing channels from the TV package.,Medium,Closed,7
TICK000047,CUST0023,2024-07-14,Billing,Customer requested clarification on monthly bill charges.,Medium,In Progress,
TICK000048,CUST0023,2025-11-19,Billing,Customer disputed an unexpected charge on the monthly bill.,High,In Progress,
TICK000049,CUST0023,2024-10-09,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,High,Closed,8
TICK000050,CUST0023,2024-09-27,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Low,Closed,0
TICK000051,CUST0023,2025-11-15,Service Outage,Customer requested estimated restoration time for neighborhood outage.,High,Open,
TICK000052,CUST0023,2025-06-14,Internet,Customer stated that the router reboot did not fix the connectivity issue.,High,In Progress,
TICK000053,CUST0023,2024-10-27,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Medium,Open,
TICK000054,CUST0023,2025-06-08,Internet,Customer complained about repeated internet drops during work-from-home hours.,High,In Progress,
TICK000055,CUST0024,2023-04-26,Internet,Customer reported that internet service is working well after recent upgrade.,Medium,Open,
TICK000056,CUST0027,2023-12-07,Billing,Customer disputed an unexpected charge on the monthly bill.,Medium,Closed,6
TICK000057,CUST0027,2026-05-03,Internet,Customer contacted support to confirm improved internet speed after router replacement.,Low,Closed,6
TICK000058,CUST0028,2025-06-24,Billing,Customer disputed an unexpected charge on the monthly bill.,High,Closed,10
TICK000059,CUST0028,2025-01-17,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,Open,
TICK000060,CUST0029,2025-07-03,Internet,Customer contacted support to confirm improved internet speed after router replacement.,Medium,Closed,2
TICK000061,CUST0029,2023-02-07,Internet,Customer stated that the router reboot did not fix the connectivity issue.,High,Closed,1
TICK000062,CUST0029,2026-01-04,Internet,Customer complained about repeated internet drops during work-from-home hours.,Medium,Open,
TICK000063,CUST0029,2023-10-09,Billing,Customer requested clarification on monthly bill charges.,Medium,In Progress,
TICK000064,CUST0031,2024-01-18,Internet,Customer asked for guidance on resetting the modem and router.,High,Closed,9
TICK000065,CUST0035,2020-01-26,Billing,Customer requested clarification on monthly bill charges.,Medium,Closed,5
TICK000066,CUST0036,2023-11-09,Mobile,Customer requested help activating a new mobile line.,High,Closed,8
TICK000067,CUST0037,2024-08-19,TV,Customer reported missing channels from the TV package.,Medium,Open,
TICK000068,CUST0037,2025-04-26,Billing,Customer thanked support for explaining the promotional discount on the bill.,Low,Closed,6
TICK000069,CUST0040,2023-01-01,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Low,Closed,1
TICK000070,CUST0041,2025-08-15,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Low,Closed,8
TICK000071,CUST0041,2024-08-21,Internet,Customer asked for guidance on resetting the modem and router.,Medium,Closed,6
TICK000072,CUST0042,2024-01-18,Service Outage,Customer reported internet and TV outage affecting remote work.,High,In Progress,
TICK000073,CUST0045,2025-02-23,Billing,Customer requested clarification on monthly bill charges.,High,Closed,3
TICK000074,CUST0046,2025-10-16,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Critical,Closed,1
TICK000075,CUST0046,2023-01-30,Internet,Customer asked for guidance on resetting the modem and router.,Medium,Closed,0
TICK000076,CUST0046,2023-12-21,Billing,Customer asked why promotional pricing changed this month.,Critical,Closed,3
TICK000077,CUST0046,2026-06-01,Internet,Customer asked for guidance on resetting the modem and router.,High,Closed,0
TICK000078,CUST0047,2025-03-22,Mobile,Customer asked about mobile data usage shown on the account.,Medium,Closed,0
TICK000079,CUST0048,2022-10-28,Mobile,Customer requested help activating a new mobile line.,High,Open,
TICK000080,CUST0048,2022-10-11,TV,Customer reported missing channels from the TV package.,Critical,Closed,2
TICK000081,CUST0049,2022-12-05,Billing,Customer asked why promotional pricing changed this month.,Medium,In Progress,
TICK000082,CUST0049,2025-11-10,Billing,Customer requested clarification on monthly bill charges.,Critical,Open,
TICK000083,CUST0049,2025-07-01,Internet,Customer asked for guidance on resetting the modem and router.,Medium,Closed,7
TICK000084,CUST0049,2023-05-04,Service Outage,Customer was dissatisfied with repeated service outages in the area.,High,In Progress,
TICK000085,CUST0049,2023-05-11,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Critical,In Progress,
TICK000086,CUST0049,2026-02-14,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Medium,Open,
TICK000087,CUST0049,2023-08-22,Internet,Customer complained about repeated internet drops during work-from-home hours.,Critical,Open,
TICK000088,CUST0050,2024-07-13,Internet,Customer complained about repeated internet drops during work-from-home hours.,Medium,Closed,10
TICK000089,CUST0050,2024-01-15,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,High,Open,
TICK000090,CUST0051,2025-04-04,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Closed,3
TICK000091,CUST0051,2024-04-04,Billing,Customer thanked support for explaining the promotional discount on the bill.,Medium,Closed,1
TICK000092,CUST0051,2025-09-01,TV,Customer reported missing channels from the TV package.,Low,Closed,2
TICK000093,CUST0052,2025-08-24,Service Outage,Customer was dissatisfied with repeated service outages in the area.,High,Closed,4
TICK000094,CUST0052,2024-09-01,Mobile,Customer complained that mobile data was slower than expected.,High,Closed,6
TICK000095,CUST0052,2025-12-30,Billing,Customer asked why promotional pricing changed this month.,High,Closed,4
TICK000096,CUST0052,2024-04-19,Mobile,Customer reported dropped calls and slow mobile data speeds.,High,In Progress,
TICK000097,CUST0052,2025-10-29,Mobile,Customer requested help activating a new mobile line.,High,Closed,4
TICK000098,CUST0052,2024-06-18,Billing,Customer was frustrated that payment was posted but balance still showed due.,High,Closed,8
TICK000099,CUST0055,2022-07-03,Service Outage,Customer requested estimated restoration time for neighborhood outage.,High,Closed,6
TICK000100,CUST0056,2019-02-03,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Closed,0
TICK000101,CUST0056,2026-03-09,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,In Progress,
TICK000102,CUST0057,2026-03-20,TV,Customer asked about channel package details.,Medium,Closed,5
TICK000103,CUST0057,2026-04-02,TV,Customer requested help with streaming app login.,Medium,Open,
TICK000104,CUST0058,2024-06-22,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Low,In Progress,
TICK000105,CUST0058,2023-01-01,Internet,Customer reported that internet service is working well after recent upgrade.,Critical,Closed,0
TICK000106,CUST0059,2026-05-27,TV,Customer asked about channel package details.,Low,Closed,4
TICK000107,CUST0059,2025-07-10,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Critical,In Progress,
TICK000108,CUST0060,2026-01-23,Mobile,Customer complained that mobile data was slower than expected.,Medium,In Progress,
TICK000109,CUST0060,2025-12-10,Billing,Customer requested clarification on monthly bill charges.,High,Closed,1
TICK000110,CUST0061,2026-04-19,Internet,Customer asked for guidance on resetting the modem and router.,Low,Closed,9
TICK000111,CUST0061,2025-09-19,Internet,Customer asked for guidance on resetting the modem and router.,Low,Closed,10
TICK000112,CUST0062,2022-06-07,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Low,Closed,9
TICK000113,CUST0065,2023-09-25,Mobile,Customer requested help activating a new mobile line.,High,Open,
TICK000114,CUST0065,2026-03-27,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Medium,Closed,7
TICK000115,CUST0066,2025-08-01,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,High,Closed,3
TICK000116,CUST0067,2025-10-02,TV,Customer asked about channel package details.,Medium,In Progress,
TICK000117,CUST0067,2025-04-14,Internet,Customer asked for guidance on resetting the modem and router.,Medium,Closed,1
TICK000118,CUST0069,2024-08-07,Internet,Customer asked for guidance on resetting the modem and router.,High,Closed,0
TICK000119,CUST0070,2026-05-16,Internet,Customer reported that internet service is working well after recent upgrade.,Medium,Closed,0
TICK000120,CUST0072,2024-06-17,TV,Customer reported missing channels from the TV package.,Medium,Closed,2
TICK000121,CUST0073,2024-04-18,Service Outage,Customer confirmed service was restored after the outage notification.,Low,Closed,0
TICK000122,CUST0073,2022-04-28,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Closed,4
TICK000123,CUST0074,2025-02-11,Billing,Customer disputed an unexpected charge on the monthly bill.,High,Open,
TICK000124,CUST0074,2026-05-01,Service Outage,Customer was dissatisfied with repeated service outages in the area.,High,In Progress,
TICK000125,CUST0074,2023-03-07,Billing,Customer asked why promotional pricing changed this month.,Low,Open,
TICK000126,CUST0074,2024-10-18,Service Outage,Customer reported internet and TV outage affecting remote work.,Medium,Open,
TICK000127,CUST0074,2024-10-18,Mobile,Customer reported dropped calls and slow mobile data speeds.,High,In Progress,
TICK000128,CUST0074,2022-10-15,Mobile,Customer complained that mobile data was slower than expected.,High,Closed,6
TICK000129,CUST0077,2022-03-12,Billing,Customer asked why promotional pricing changed this month.,High,Closed,4
TICK000130,CUST0077,2024-10-12,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,High,Closed,3
TICK000131,CUST0079,2024-08-03,Internet,Customer reported that internet service is working well after recent upgrade.,Critical,Closed,0
TICK000132,CUST0079,2024-07-15,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,Closed,7
TICK000133,CUST0080,2021-12-20,Billing,Customer asked why promotional pricing changed this month.,Medium,Closed,0
TICK000134,CUST0081,2023-12-24,TV,Customer asked about channel package details.,Low,Open,
TICK000135,CUST0081,2023-02-10,Internet,Customer asked for guidance on resetting the modem and router.,Low,Closed,8
TICK000136,CUST0083,2025-08-19,Service Outage,Customer was dissatisfied with repeated service outages in the area.,High,Closed,2
TICK000137,CUST0083,2025-03-15,TV,Customer reported missing channels from the TV package.,High,Closed,5
TICK000138,CUST0083,2023-10-31,Service Outage,Customer reported internet and TV outage affecting remote work.,Medium,In Progress,
TICK000139,CUST0083,2025-08-09,Service Outage,Customer requested estimated restoration time for neighborhood outage.,High,Closed,3
TICK000140,CUST0083,2026-04-07,TV,Customer experienced pixelation while watching live TV.,Critical,Open,
TICK000141,CUST0083,2023-10-12,TV,Customer asked about channel package details.,Medium,Closed,7
TICK000142,CUST0083,2023-09-10,Billing,Customer thanked support for explaining the promotional discount on the bill.,High,In Progress,
TICK000143,CUST0084,2025-11-13,Service Outage,Customer reported internet and TV outage affecting remote work.,Medium,Closed,4
TICK000144,CUST0085,2025-12-08,Mobile,Customer requested help activating a new mobile line.,Low,Closed,6
TICK000145,CUST0085,2025-02-16,Mobile,Customer reported dropped calls and slow mobile data speeds.,High,Closed,6
TICK000146,CUST0086,2023-12-12,Internet,Customer reported that internet service is working well after recent upgrade.,Medium,In Progress,
TICK000147,CUST0087,2025-01-08,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,In Progress,
TICK000148,CUST0087,2024-09-05,Billing,Customer was frustrated that payment was posted but balance still showed due.,Critical,Open,
TICK000149,CUST0087,2026-05-01,Internet,Customer complained about repeated internet drops during work-from-home hours.,Medium,Closed,10
TICK000150,CUST0087,2025-09-23,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Critical,Closed,0
TICK000151,CUST0087,2025-08-04,Internet,Customer complained about repeated internet drops during work-from-home hours.,Medium,Open,
TICK000152,CUST0087,2024-05-22,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Medium,Closed,10
TICK000153,CUST0088,2026-05-25,Internet,Customer asked for guidance on resetting the modem and router.,Medium,Closed,10
TICK000154,CUST0088,2026-05-07,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,High,Closed,6
TICK000155,CUST0089,2020-07-05,TV,Customer asked about channel package details.,Medium,Closed,5
TICK000156,CUST0090,2022-09-13,Service Outage,Customer confirmed service was restored after the outage notification.,Medium,Closed,1
TICK000157,CUST0090,2024-10-20,Internet,Customer asked for guidance on resetting the modem and router.,Medium,Closed,9
TICK000158,CUST0091,2025-02-08,Billing,Customer was frustrated that payment was posted but balance still showed due.,Low,Closed,4
TICK000159,CUST0094,2025-05-11,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Medium,In Progress,
TICK000160,CUST0096,2026-01-22,TV,Customer asked about channel package details.,Medium,Open,
TICK000161,CUST0097,2025-09-20,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,Closed,7
TICK000162,CUST0098,2026-04-19,Billing,Customer was frustrated that payment was posted but balance still showed due.,Medium,Closed,9
TICK000163,CUST0098,2026-03-29,Billing,Customer disputed an unexpected charge on the monthly bill.,Medium,Closed,9
TICK000164,CUST0099,2026-04-13,Mobile,Customer reported dropped calls and slow mobile data speeds.,High,Open,
TICK000165,CUST0100,2026-03-23,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Low,Closed,1
TICK000166,CUST0100,2026-05-21,Mobile,Customer confirmed mobile line activation was completed successfully.,Low,Closed,5
TICK000167,CUST0101,2024-07-06,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,High,Closed,8
TICK000168,CUST0101,2025-04-13,Billing,Customer was frustrated that payment was posted but balance still showed due.,Critical,Closed,1
TICK000169,CUST0101,2023-01-15,Billing,Customer was frustrated that payment was posted but balance still showed due.,Medium,Closed,6
TICK000170,CUST0101,2023-02-09,Billing,Customer requested clarification on monthly bill charges.,Medium,Closed,5
TICK000171,CUST0101,2022-12-01,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,High,Closed,4
TICK000172,CUST0103,2026-03-01,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,In Progress,
TICK000173,CUST0104,2023-07-15,Service Outage,Customer requested estimated restoration time for neighborhood outage.,High,Closed,5
TICK000174,CUST0105,2025-10-03,Billing,Customer asked why promotional pricing changed this month.,Medium,Open,
TICK000175,CUST0105,2024-10-20,Internet,Customer complained about repeated internet drops during work-from-home hours.,Medium,Open,
TICK000176,CUST0105,2022-11-01,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Closed,5
TICK000177,CUST0107,2023-07-24,Service Outage,Customer reported internet and TV outage affecting remote work.,High,In Progress,
TICK000178,CUST0107,2023-05-06,TV,Customer experienced pixelation while watching live TV.,Low,Closed,10
TICK000179,CUST0107,2024-11-25,TV,Customer reported missing channels from the TV package.,Medium,In Progress,
TICK000180,CUST0107,2023-12-03,Service Outage,Customer reported internet and TV outage affecting remote work.,Medium,Closed,9
TICK000181,CUST0107,2024-11-21,Billing,Customer disputed an unexpected charge on the monthly bill.,Medium,In Progress,
TICK000182,CUST0107,2025-04-01,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Closed,10
TICK000183,CUST0107,2024-02-17,Billing,Customer disputed an unexpected charge on the monthly bill.,High,Open,
TICK000184,CUST0108,2025-11-24,Billing,Customer asked why promotional pricing changed this month.,Medium,Closed,3
TICK000185,CUST0109,2022-05-12,Mobile,Customer confirmed mobile line activation was completed successfully.,Medium,In Progress,
TICK000186,CUST0109,2022-05-03,Billing,Customer requested clarification on monthly bill charges.,Medium,Closed,1
TICK000187,CUST0109,2023-05-28,Internet,Customer complained about repeated internet drops during work-from-home hours.,Medium,Closed,1
TICK000188,CUST0110,2023-03-12,TV,Customer reported missing channels from the TV package.,Medium,Closed,9
TICK000189,CUST0111,2021-12-22,Billing,Customer thanked support for explaining the promotional discount on the bill.,Medium,Closed,3
TICK000190,CUST0112,2025-12-18,TV,Customer experienced pixelation while watching live TV.,High,Closed,1
TICK000191,CUST0112,2025-11-13,Billing,Customer was frustrated that payment was posted but balance still showed due.,High,In Progress,
TICK000192,CUST0112,2026-01-03,Internet,Customer complained about repeated internet drops during work-from-home hours.,High,Closed,4
TICK000193,CUST0112,2025-11-12,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,Closed,0
TICK000194,CUST0112,2026-05-24,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Critical,Closed,2
TICK000195,CUST0113,2024-09-12,Internet,Customer complained about repeated internet drops during work-from-home hours.,Medium,Closed,2
TICK000196,CUST0114,2025-08-09,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Open,
TICK000197,CUST0116,2023-06-05,Internet,Customer asked for guidance on resetting the modem and router.,Medium,Closed,10
TICK000198,CUST0116,2022-03-06,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,Closed,5
TICK000199,CUST0117,2024-09-20,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Closed,4
TICK000200,CUST0117,2024-11-10,TV,Customer requested help with streaming app login.,Medium,Closed,3
TICK000201,CUST0118,2021-06-04,TV,Customer reported missing channels from the TV package.,Medium,In Progress,
TICK000202,CUST0120,2022-08-29,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,Closed,1
TICK000203,CUST0120,2023-05-10,Billing,Customer requested clarification on monthly bill charges.,Medium,Open,
TICK000204,CUST0120,2026-02-05,Service Outage,Customer reported internet and TV outage affecting remote work.,Low,Closed,7
TICK000205,CUST0121,2023-10-16,Billing,Customer asked why promotional pricing changed this month.,Low,Closed,1
TICK000206,CUST0121,2024-02-11,Mobile,Customer confirmed mobile line activation was completed successfully.,Medium,Closed,10
TICK000207,CUST0124,2025-04-23,Mobile,Customer asked about mobile data usage shown on the account.,High,In Progress,
TICK000208,CUST0125,2021-05-19,Service Outage,Customer confirmed service was restored after the outage notification.,High,Closed,4
TICK000209,CUST0126,2024-10-18,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Medium,Closed,0
TICK000210,CUST0126,2024-09-24,Internet,Customer complained about repeated internet drops during work-from-home hours.,High,Closed,10
TICK000211,CUST0126,2024-10-16,Service Outage,Customer was dissatisfied with repeated service outages in the area.,High,Open,
TICK000212,CUST0126,2025-07-08,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Low,Closed,8
TICK000213,CUST0126,2025-07-18,Mobile,Customer requested help activating a new mobile line.,Medium,In Progress,
TICK000214,CUST0126,2026-05-16,Internet,Customer complained about repeated internet drops during work-from-home hours.,High,Closed,5
TICK000215,CUST0127,2022-05-27,Service Outage,Customer reported internet and TV outage affecting remote work.,High,Open,
TICK000216,CUST0128,2025-10-22,TV,Customer requested help with streaming app login.,Low,Closed,2
TICK000217,CUST0129,2020-05-16,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Medium,Closed,4
TICK000218,CUST0129,2022-08-19,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Open,
TICK000219,CUST0130,2025-03-07,Billing,Customer asked why promotional pricing changed this month.,Medium,Closed,1
TICK000220,CUST0130,2024-03-18,Billing,Customer thanked support for explaining the promotional discount on the bill.,Medium,Closed,4
TICK000221,CUST0130,2024-08-01,Internet,Customer reported that internet service is working well after recent upgrade.,High,Closed,1
TICK000222,CUST0131,2019-09-03,Billing,Customer thanked support for explaining the promotional discount on the bill.,Low,Closed,7
TICK000223,CUST0132,2026-04-03,Billing,Customer asked why promotional pricing changed this month.,Medium,Closed,10
TICK000224,CUST0132,2025-04-21,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Closed,5
TICK000225,CUST0132,2023-01-19,TV,Customer requested help with streaming app login.,Medium,Closed,0
TICK000226,CUST0133,2023-09-25,TV,Customer experienced pixelation while watching live TV.,Low,Open,
TICK000227,CUST0134,2026-06-15,TV,Customer asked about channel package details.,High,Closed,8
TICK000228,CUST0135,2023-07-02,TV,Customer reported missing channels from the TV package.,Low,Closed,4
TICK000229,CUST0136,2022-12-11,Internet,Customer complained about repeated internet drops during work-from-home hours.,Medium,Closed,4
TICK000230,CUST0139,2025-06-02,Internet,Customer asked for guidance on resetting the modem and router.,Low,Closed,4
TICK000231,CUST0142,2023-05-24,Billing,Customer requested clarification on monthly bill charges.,Medium,Closed,2
TICK000232,CUST0142,2024-06-21,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,High,In Progress,
TICK000233,CUST0142,2023-05-06,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,High,Closed,1
TICK000234,CUST0143,2026-05-28,Billing,Customer disputed an unexpected charge on the monthly bill.,Medium,Closed,8
TICK000235,CUST0143,2026-05-31,TV,Customer asked about channel package details.,Medium,Closed,9
TICK000236,CUST0144,2023-06-15,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,Closed,4
TICK000237,CUST0145,2024-02-17,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Low,Closed,8
TICK000238,CUST0145,2023-03-02,Mobile,Customer requested help activating a new mobile line.,Low,Closed,5
TICK000239,CUST0146,2023-01-16,Billing,Customer asked why promotional pricing changed this month.,Low,Open,
TICK000240,CUST0146,2023-05-02,Internet,Customer complained about repeated internet drops during work-from-home hours.,High,In Progress,
TICK000241,CUST0147,2022-08-22,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Closed,7
TICK000242,CUST0147,2024-12-03,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Low,Closed,2
TICK000243,CUST0147,2026-04-02,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Low,Closed,8
TICK000244,CUST0149,2026-05-26,Internet,Customer asked for guidance on resetting the modem and router.,Medium,Closed,2
TICK000245,CUST0149,2026-03-06,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,High,Closed,5
TICK000246,CUST0150,2026-03-13,Service Outage,Customer confirmed service was restored after the outage notification.,Low,Closed,5
TICK000247,CUST0152,2022-07-12,TV,Customer asked about channel package details.,Low,Closed,5
TICK000248,CUST0153,2024-05-16,Service Outage,Customer was dissatisfied with repeated service outages in the area.,Critical,Closed,2
TICK000249,CUST0153,2026-01-08,Mobile,Customer confirmed mobile line activation was completed successfully.,High,Closed,3
TICK000250,CUST0153,2024-12-02,Mobile,Customer asked about mobile data usage shown on the account.,High,Closed,1
TICK000251,CUST0154,2026-01-12,Billing,Customer asked why promotional pricing changed this month.,Medium,Closed,5
TICK000252,CUST0154,2025-12-31,Internet,Customer asked for guidance on resetting the modem and router.,Low,Closed,5
TICK000253,CUST0155,2023-05-03,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,Closed,4
TICK000254,CUST0156,2023-10-13,Internet,Customer complained about repeated internet drops during work-from-home hours.,High,Open,
TICK000255,CUST0156,2025-12-09,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Medium,Closed,8
TICK000256,CUST0156,2026-02-26,Billing,Customer disputed an unexpected charge on the monthly bill.,Medium,Closed,3
TICK000257,CUST0156,2025-11-17,Internet,Customer complained about repeated internet drops during work-from-home hours.,High,Closed,6
